"Barcodes"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"BRDN0003495192"	-0.227244406905808	-0.306681563729608	-0.468239588498982	-0.465175912227619	-1.26095185317909
"BRDN0003506698"	-0.0543067425998792	0.0223702952539911	0.0924568739562205	0.114761769314638	0.131011354189749
"BRDN0003507393"	0.067055041259637	0.0607263470295747	0.0392098152758284	-0.0180329829995772	0.224049033852101
"BRDN0003502700"	-0.155013992244564	-0.188761679051401	-0.323398649278553	-0.526435286248374	-0.577556638639659
"BRDN0003509024"	-0.035167951731576	-0.0417370978590242	0.0347987361244905	0.0628852253121854	0.086712159717615
"BRDN0003510324"	-0.0553949255914606	-0.0548336836221249	-0.202188856708142	-0.226645298074928	-0.549611914512948
"BRDN0003507649"	0.0297417080376616	-0.00620504194538979	-0.112979256000657	0.280738927198419	-0.0318392834120639
"BRDN0003510998"	-0.434387167785304	-0.363962337469493	-0.357083333034113	-0.36975159235921	-0.996712812762727
"BRDN0003505013"	-0.145210366970566	-0.0938383856260986	-0.316258784354844	-0.00234273911773915	0.616645277816593
"BRDN0003500365"	-0.0497134371942643	-0.0368068109015645	0.16404895504691	0.0766057334350113	0.0785684956004134
"BRDN0003499729"	-0.273292534576966	-0.349818339578259	-0.660048179475366	-0.441692901721129	-1.16574441571083
"BRDN0003506624"	-0.328754265200383	-0.229682631985603	-0.575429900054312	-0.096729374953895	-0.915352569519023
"BRDN0003511166"	0.0297507162795189	0.00971195892089643	0.171502135809027	0.123884115928342	-0.0831505711352247
"BRDN0003499112"	-0.31191079167975	-0.415242991933977	-0.242598358449309	-0.639737027982748	-1.07442434229645
"BRDN0003499117"	-0.0389444913397939	-0.0802310238575659	-0.172913004090672	-0.280046655719486	-0.161582098001057
"BRDN0003506827"	0.0173221239431437	-0.030140049967829	0.152985374041639	0.189391216047608	0.186925100862488
"BRDN0003508521"	-0.132985291395612	-0.152640428343553	-0.130084444874806	0.185034979002966	-0.599055908914224
